0610007P14Rik       Q9ERY9      ERG28_MOUSE   MGI:1915571
0610009O20Rik       Q9DCV6      DELE_MOUSE    MGI:1914089
0610010F05Rik       Q68FF0      K1841_MOUSE   MGI:1918925
0610010K14Rik       Q9DCT6      BAP18_MOUSE   MGI:1915609
0610011F06Rik       Q9DCS2      CP013_MOUSE   MGI:1915597
0610030E20Rik       Q149G0      CB068_MOUSE   MGI:1915614
0610037L13Rik       Q8BHG2      CA123_MOUSE   MGI:1921348
0610040J01Rik       Q99K99      CD019_MOUSE   MGI:1923511
1110001J03Rik       Q9CR13      CG055_MOUSE   MGI:1913367
1110004E09Rik       Q8BL95      CU059_MOUSE   MGI:1915251
1110004F10Rik       Q9R0P4      SMAP_MOUSE    MGI:1929274
1110007C09Rik       Q9D1I2      BINCA_MOUSE   MGI:1915730
1110008F13Rik       Q9CQT9      CT024_MOUSE   MGI:1914638
1110008L16Rik       Q8JZY4      MRRP3_MOUSE   MGI:1913382
1110008P14Rik       P58686      CI016_MOUSE   MGI:1920987
1110012L19Rik       Q9D1F3      CX040_MOUSE   MGI:1915868
1110017D15Rik       Q2MH31      SMRP1_MOUSE   MGI:1920971
1110032A03Rik       Q9D131      CK001_MOUSE   MGI:1915971
1110032F04Rik       E9Q0B3      CC080_MOUSE   MGI:1915975
1110034G24Rik       Q9D112      CT196_MOUSE   MGI:1920997
1110037F02Rik       A2AIV2      VIR_MOUSE     MGI:1913435
1110038F14Rik       Q3U6N9      CH033_MOUSE   MGI:2152337
1110051M20Rik       Q8BHR8      CK049_MOUSE   MGI:1915079
1110057K04Rik       Q8BVA5      LDAH_MOUSE    MGI:1916082
1110058L19Rik       Q8BTE0      SDHF4_MOUSE   MGI:1915252
1110059E24Rik       Q9CQ90      CI085_MOUSE   MGI:1913456
1110059G10Rik       Q8K039      K1143_MOUSE   MGI:1913452
1110065P20Rik       B1ARW8      CA122_MOUSE   MGI:1916170
1190002N15Rik       Q3USZ8      DIA1_MOUSE    MGI:1916111
1190005I06Rik       Q8K1L6      CP074_MOUSE   MGI:1916168
1190007I07Rik       Q8BTC1      CL073_MOUSE   MGI:3698433
1200014J11Rik       Q8BZR9      CQ085_MOUSE   MGI:1914124
1300017J02Rik       Q9DBD0      ICA_MOUSE     MGI:1919025
1500009L16Rik       P0C913      OCC1_MOUSE    MGI:1917034
1500011K16Rik       Q8BT35      YB039_MOUSE   MGI:1915135
1500015O10Rik       Q99LS0      AUGN_MOUSE    MGI:1926146
1600002H07Rik       Q6GQV0      CP059_MOUSE   MGI:1919266
1600002K03Rik       Q9DAZ5      CS024_MOUSE   MGI:1917020
