P04710	S000004660
P18238	S000000289
P47182	S000003916
P42884	S000005275
Q08361	S000005525
P43546	S000001837
P25612	S000000704
Q07747	S000002402
P43547	S000001838
P53909	S000005085
P37898	S000001089
P32357	S000000170
Q01802	S000001589
P23542	S000004017
P32783	S000000440
P14164	S000001595
Q02486	S000004676
P47146	S000003869
P15891	S000000684
Q08641	S000005765
P37254	S000005316
Q03266	S000004902
P39970	S000000847
P31787	S000003269
Q00955	S000005299
P21192	S000004121
Q12168	S000004134
P47129	S000003843
P32316	S000000111
Q07622	S000002362
Q03771	S000002568
Q08981	S000006188
P19414	S000004295
P39533	S000003736
P32463	S000001675
Q01574	S000000050
P52910	S000004143
P60010	S000001855
Q02336	S000002856
Q03233	S000004796
P36040	S000001689
P27616	S000000070
P80210	S000005164
Q05911	S000004351
P54113	S000004018
P38009	S000004727
P21264	S000005654
P07245	S000003436
P04046	S000004915
P07244	S000003203
P38972	S000003293
P04161	S000002816
Q2V2Q1	S000028518
P00330	S000005446
P00331	S000004918
P07246	S000004688
P10127	S000003225
P38113	S000000349
Q04894	S000004937
P25377	S000000702
Q03677	S000004611
P07170	S000002634
P26364	S000000972
P47143	S000003866
P25371	S000000604
P07248	S000002624
P25613	S000000603
Q07732	S000002398
Q05955	S000004217
P32493	S000004668
P22136	S000004895
Q12089	S000005926
P32317	S000000778
P32794	S000004389
P39925	S000000819
Q99222	S000005655
P33304	S000002492
P22149	S000003039
Q08957	S000006123
P32323	S000005327
P32781	S000003000
Q12482	S000006225
Q04412	S000002932
P40529	S000001306
P25376	S000000530
P38090	S000000336
P43548	S000001839
P43567	S000001864
Q12449	S000002622
Q12433	S000005549
P25649	S000000678
P38013	S000004099
P29589	S000001135
P03875	S000007261
P03876	S000007262
P03877	S000007263
P03878	S000007264
Q9ZZX1	S000007265
Q9ZZX0	S000007266
P52923	S000005357
P39724	S000000044
P39965	S000000889
P87275	S000002960
P53109	S000003128
P23180	S000001013
P38884	S000001241
P40502	S000001349
P39721	S000000047
P40451	S000001420
P40563	S000001442
P47051	S000003582
P47015	S000003667
P47127	S000003841
P47140	S000003861
P32858	S000001520
P36154	S000001782
P38266	S000000312
Q04689	S000004514
Q04516	S000004552
Q03673	S000004605
Q03798	S000004766
Q08223	S000005414
Q12032	S000005741
Q99299	S000006079
Q12480	S000006208
P38885	S000001242
P38305	S000000398
Q07716	S000002396
Q12156	S000002470
P40053	S000000882
P46680	S000004698
P40507	S000001341
Q12476	S000002334
P38080	S000000263
P39010	S000002672
Q12013	S000005560
P40825	S000005862
P47019	S000003658
P47771	S000004780
P54114	S000004779
P46367	S000005901
P40047	S000000875
P54115	S000005982
Q08548	S000005701
P53904	S000005092
P16661	S000000314
P53954	S000004993
P53730	S000005313
P53178	S000003015
P38242	S000000274
P43636	S000003033
P38179	S000000178
P40350	S000006148
Q12001	S000005528
P07286	S000000447
P40351	S000005593
P53868	S000005163
P43633	S000002989
P32789	S000000105
P54783	S000004551
P38971	S000005214
Q08269	S000005490
P43553	S000001844
P52893	S000004079
P52892	S000002518
P36117	S000001729
P47029	S000003620
P50082	S000003457
P15274	S000004498
P22580	S000002650
P38313	S000000415
P38285	S000000362
P22855	S000003124
P19211	S000003808
P32629	S000000762
P36090	S000001530
P38832	S000001168
Q06497	S000006332
Q06624	S000006384
P16550	S000000555
P22108	S000002938
P53886	S000005116
Q12157	S000002166
Q12440	S000004117
Q04601	S000002525
Q08683	S000005775
Q12107	S000004092
P38281	S000000355
P14904	S000001586
P32454	S000001640
P37302	S000000490
P38821	S000001155
Q04413	S000002933
P53940	S000005021
P27351	S000003765
P36000	S000001618
P38065	S000000133
Q12028	S000006233
Q08951	S000006116
P46682	S000003493
Q00776	S000006180
P38700	S000001011
P38153	S000000492
Q99186	S000005423
P22936	S000001597
P38207	S000000115
P53933	S000005038
P40532	S000001302
P47036	S000003611
P35181	S000004160
Q00381	S000003819
P47064	S000003561
P49435	S000004484
P36973	S000002849
P53943	S000005009
P0CD91	S000006396
P0CD90	S000003975
P38115	S000000353
Q04212	S000004644
P40024	S000000838
P40518	S000001324
Q05933	S000004362
P33204	S000001496
P46672	S000003073
P53731	S000005318
P38328	S000000438
P07347	S000001055
P25628	S000000644
P53629	S000005302
P11076	S000002351
P19146	S000002296
P40994	S000005620
P22768	S000005419
P40360	S000003607
P05150	S000003624
P04076	S000001060
Q01217	S000000871
Q04728	S000004666
P18544	S000005500
P07249	S000004645
P05085	S000004565
P07250	S000002580
P48360	S000002784
P53111	S000003125
P53974	S000004965
P38116	S000000368
Q02804	S000005972
P38731	S000001032
P38724	S000001039
Q06408	S000002788
P08566	S000002534
P28777	S000003116
P14843	S000002442
P32449	S000000453
P32178	S000006264
P53090	S000003170
Q04052	S000002829
P38840	S000001179
Q04549	S000002513
P38696	S000001171
P32381	S000002187
P47117	S000003826
P80428	S000003617
P53946	S000005004
Q12509	S000004075
Q12406	S000006238
Q12386	S000005667
Q05123	S000004636
Q06596	S000006403
Q06597	S000006404
Q06598	S000006405
P18634	S000004384
Q8TGM7	S000028675
Q8TGM5	S000028676
P53244	S000003300
Q06541	S000004232
Q03862	S000002508
Q06822	S000006289
P38011	S000004722
P50275	S000005584
P32447	S000003651
P32448	S000002356
P40467	S000001392
P46993	S000003706
P34233	S000001668
P54074	S000004725
P53895	S000005103
P53983	S000004953
P35734	S000001535
P48361	S000003329
Q05166	S000002246
