Q9ERY9	MGI:1915571
Q9DCV6	MGI:1914089
Q68FF0	MGI:1918925
Q9DCT6	MGI:1915609
Q9DCS2	MGI:1915597
Q149G0	MGI:1915614
Q8BHG2	MGI:1921348
Q99K99	MGI:1923511
Q9CR13	MGI:1913367
Q8BL95	MGI:1915251
Q9R0P4	MGI:1929274
Q9D1I2	MGI:1915730
Q9CQT9	MGI:1914638
Q8JZY4	MGI:1913382
P58686	MGI:1920987
Q9D1F3	MGI:1915868
Q2MH31	MGI:1920971
Q9D131	MGI:1915971
E9Q0B3	MGI:1915975
Q9D112	MGI:1920997
A2AIV2	MGI:1913435
Q3U6N9	MGI:2152337
Q8BHR8	MGI:1915079
Q8BVA5	MGI:1916082
Q8BTE0	MGI:1915252
Q9CQ90	MGI:1913456
Q8K039	MGI:1913452
B1ARW8	MGI:1916170
Q3USZ8	MGI:1916111
Q8K1L6	MGI:1916168
Q8BTC1	MGI:3698433
Q8BZR9	MGI:1914124
Q9DBD0	MGI:1919025
P0C913	MGI:1917034
Q8BT35	MGI:1915135
Q99LS0	MGI:1926146
Q6GQV0	MGI:1919266
Q9DAZ5	MGI:1917020
Q9DAY5	MGI:1915162
Q8WUR0	MGI:1919494
Q9DAS2	MGI:1922684
Q9DAR0	MGI:1916565
Q9DAQ5	MGI:1919465
Q9DAQ4	MGI:1919087
Q6PE87	MGI:1916579
Q9DAN9	MGI:1922687
Q810M1	MGI:1916571
Q9DAL9	MGI:1916568
Q5BN45	MGI:1916577
D3Z070	MGI:1916599
Q9DAG5	MGI:1922717
Q9CPZ1	MGI:1914332
Q9DAF8	MGI:1914937
Q4KKZ1	MGI:1916614
Q9DAD0	MGI:1922754
Q9DAB9	MGI:1919498
Q4FZF2	MGI:1924175
J3QM76	MGI:1922779
Q9DAA7	MGI:1916678
Q9DAA3	MGI:1921468
Q810M6	MGI:1921480
Q3TEI4	MGI:1921461
Q9CPS8	MGI:1914330
Q0VFX2	MGI:2447809
Q9CQT6	MGI:1914757
Q9DA60	MGI:1919113
Q8C1R3	MGI:1913580
Q9CQF4	MGI:1915101
Q9DA42	MGI:1919471
Q80U62	MGI:1915160
Q3V0E1	MGI:1914567
Q9DA15	MGI:1919118
Q3KNL4	MGI:1914335
Q9D9Z7	MGI:1916632
A2A995	MGI:2685466
Q8K207	MGI:1916649
Q6P8Y0	MGI:1922806
Q7TPM5	MGI:1917237
Q3KQP7	MGI:1923671
Q9CQC3	MGI:1914733
Q8CF31	MGI:1916742
Q3U1D9	MGI:1916729
Q8BHB7	MGI:1916778
Q922C1	MGI:1919504
Q80W69	MGI:1920594
Q9D9P8	MGI:1923856
Q8BT88	MGI:1920511
Q9D1K7	MGI:1914576
Q8CDT7	MGI:1920537
Q8BR63	MGI:1920635
A6H630	MGI:1920669
Q9D9H8	MGI:1920717
Q8CF25	MGI:1920703
Q3URK1	MGI:1925715
P0C1Z5	MGI:1921534
Q9D9S1	MGI:1920774
Q810S2	MGI:1914608
Q9D9D9	MGI:1920795
Q9D9C7	MGI:2148248
Q9D9C6	MGI:1921547
Q9D9B4	MGI:1923883
Q9D992	MGI:1923913
Q9JJ93	MGI:1920893
Q9D979	MGI:1920884
Q9D937	MGI:1913526
Q08AU9	MGI:1916316
Q9D915	MGI:1916318
Q14AM7	MGI:1916303
Q0VG62	MGI:1916376
Q8BGX2	MGI:1917023
Q8C5K5	MGI:1916405
Q99M08	MGI:1914954
Q0VBP7	MGI:1919551
Q8C6G1	MGI:1915134
A2AMZ4	MGI:1913676
Q9D8Q6	MGI:1917059
Q9D8N1	MGI:1919306
Q9D8I5	MGI:1919295
Q8VC23	MGI:1917111
Q9CRC6	MGI:1913689
P56379	MGI:1917507
Q9D882	MGI:1917144
Q8BXQ6	MGI:1919311
Q3UY34	MGI:1919607
Q8BMB0	MGI:1924203
Q3UPC7	MGI:1919621
Q8BM15	MGI:1916792
Q0VG49	MGI:1916728
A2ACJ2	MGI:1919135
Q8CEZ4	MGI:1919124
B1ARI9	MGI:1922823
Q9D7E4	MGI:1913624
Q9D7D1	MGI:1924198
Q9CV60	MGI:1916813
Q8R3Y5	MGI:1913617
Q8C3W1	MGI:1916801
Q9D8L0	MGI:1914202
Q99LX5	MGI:1915112
Q148V7	MGI:1922832
Q9D735	MGI:1922833
Q9D727	MGI:1914351
Q9D6Y4	MGI:1919618
Q9D6W8	MGI:1919173
Q8C6C9	MGI:1914969
Q9D2Q3	MGI:1915527
Q7TSH8	MGI:1919197
Q9CWU4	MGI:1913671
Q9CWP9	MGI:1919229
Q8R404	MGI:2442174
Q9JJF3	MGI:1919202
Q8CE72	MGI:1920942
Q80UY1	MGI:1914633
Q8BTG6	MGI:1924042
Q3U595	MGI:1919557
Q6ZPU9	MGI:1919570
Q6GQU0	MGI:1919440
Q91X21	MGI:1924284
Q3UN58	MGI:1914763
Q9CQD4	MGI:1914278
Q9D0A3	MGI:1917670
Q3UJP5	MGI:1914407
Q5SYL3	MGI:1919753
Q9CQM1	MGI:1913701
Q8CFE2	MGI:1919862
E9PV87	MGI:1924217
Q9CQE8	MGI:1915295
Q5XFZ0	MGI:1915296
Q4VA45	MGI:1919667
Q3UQA7	MGI:1919907
Q8CIL4	MGI:1913773
Q80VP5	MGI:1919900
Q3TCX3	MGI:1921450
Q9CQX4	MGI:1915276
Q9CYZ6	MGI:1913712
Q9CYS6	MGI:1920042
Q5DTW7	MGI:1914496
Q8R1Y2	MGI:1914504
Q8BRV5	MGI:1920194
Q9D1F5	MGI:1915317
Q8VC42	MGI:1916528
Q9CRW3	MGI:1920353
Q8BG31	MGI:1924232
Q9CRC3	MGI:1914540
Q6DFW0	MGI:1920455
Q8C1A9	MGI:1915468
Q8BHZ5	MGI:1925662
Q9CXL7	MGI:1920484
